old_pages=72 new_pages=79
unchanged=
changed=1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
(1, 'pixels', (142, 563, 571, 588), 0.1655)
(2, 'pixels', (164, 184, 892, 881), 13.7537)
(3, 'pixels', (142, 150, 897, 1300), 18.7106)
(4, 'pixels', (142, 95, 897, 337), 3.8665)
(5, 'pixels', (142, 149, 892, 948), 12.3619)
(6, 'pixels', (142, 95, 892, 841), 10.5644)
(7, 'pixels', (139, 96, 900, 1333), 25.6348)
(8, 'pixels', (139, 60, 900, 1333), 24.0538)
(9, 'pixels', (139, 60, 900, 1333), 24.8681)
(10, 'pixels', (139, 60, 900, 1333), 16.4075)
(11, 'pixels', (139, 96, 900, 1333), 23.695)
(12, 'pixels', (139, 60, 900, 1333), 22.7264)
(13, 'pixels', (139, 60, 900, 1333), 20.7728)
(14, 'pixels', (139, 60, 900, 1333), 22.9698)
(15, 'pixels', (139, 60, 900, 1333), 21.3666)
(16, 'pixels', (139, 60, 900, 1333), 21.4952)
(17, 'pixels', (139, 60, 900, 1333), 20.8052)
(18, 'pixels', (139, 60, 900, 1333), 20.8542)
(19, 'pixels', (139, 60, 900, 1333), 16.1274)
(20, 'pixels', (139, 60, 900, 1333), 20.4567)
(21, 'pixels', (139, 60, 900, 1333), 20.7922)
(22, 'pixels', (139, 60, 900, 1333), 18.6504)
(23, 'pixels', (139, 60, 900, 1333), 19.728)
(24, 'pixels', (139, 60, 900, 1333), 22.5495)
(25, 'pixels', (139, 60, 900, 1333), 22.071)
(26, 'pixels', (139, 60, 900, 1333), 19.1983)
(27, 'pixels', (139, 60, 900, 1333), 12.529)
(28, 'pixels', (139, 60, 900, 1333), 8.616)
(29, 'pixels', (139, 60, 900, 1333), 11.4788)
(30, 'pixels', (139, 96, 900, 1333), 17.1772)
(31, 'pixels', (139, 60, 900, 1333), 15.3362)
(32, 'pixels', (139, 60, 900, 1333), 11.7883)
(33, 'pixels', (139, 60, 900, 1333), 11.384)
(34, 'pixels', (139, 60, 900, 1333), 20.6506)
(35, 'pixels', (139, 60, 900, 1333), 9.0162)
(36, 'pixels', (139, 60, 900, 1333), 14.3601)
(37, 'pixels', (139, 60, 900, 1333), 19.0391)
(38, 'pixels', (139, 60, 900, 1333), 15.6335)
(39, 'pixels', (139, 60, 900, 1333), 17.4412)
(40, 'pixels', (139, 60, 900, 1333), 18.7687)
(41, 'pixels', (139, 60, 900, 1333), 16.8631)
(42, 'pixels', (139, 60, 900, 1333), 14.4302)
(43, 'pixels', (139, 60, 900, 1333), 17.3891)
(44, 'pixels', (139, 60, 900, 1333), 15.8233)
(45, 'pixels', (139, 60, 900, 1333), 16.0503)
(46, 'pixels', (139, 60, 900, 1333), 16.7757)
(47, 'pixels', (139, 60, 900, 1333), 16.2031)
(48, 'pixels', (139, 60, 900, 1333), 13.2962)
(49, 'pixels', (139, 60, 900, 1333), 13.8893)
(50, 'pixels', (139, 60, 900, 1333), 14.9075)
(51, 'pixels', (139, 60, 900, 1333), 9.6825)
(52, 'pixels', (139, 60, 900, 1333), 11.4013)
(53, 'pixels', (139, 60, 900, 1333), 7.6225)
(54, 'pixels', (139, 60, 900, 1333), 9.0614)
(55, 'pixels', (139, 60, 900, 1333), 8.6927)
(56, 'pixels', (139, 60, 900, 1333), 10.7977)
(57, 'pixels', (139, 60, 900, 1333), 9.6646)
(58, 'pixels', (139, 60, 900, 1333), 18.4224)
(59, 'pixels', (139, 60, 900, 1333), 8.8447)
(60, 'pixels', (139, 60, 900, 1333), 9.2273)
(61, 'pixels', (139, 60, 900, 1333), 14.6554)
(62, 'pixels', (139, 60, 900, 1333), 19.1075)
(63, 'pixels', (139, 60, 900, 1333), 16.465)
(64, 'pixels', (139, 60, 900, 1333), 17.2635)
(65, 'pixels', (139, 60, 900, 1333), 17.2344)
(66, 'pixels', (139, 60, 900, 1333), 20.2597)
(67, 'pixels', (139, 96, 900, 1333), 24.3108)
(68, 'pixels', (139, 60, 900, 1333), 25.4835)
(69, 'pixels', (139, 60, 900, 1333), 26.3094)
(70, 'pixels', (139, 60, 900, 1333), 25.8466)
(71, 'pixels', (139, 60, 900, 1333), 20.1888)
(72, 'pixels', (139, 60, 900, 1333), 21.6774)
